"Timestamp","What age group do you belong to?","What is your annual income?","What is your biggest spending every month?","Do you have a credit card?","What was your age when you got your first credit card?","What type of credit card do you have?","What do you use your credit card for?","How did you get your first card? ","What are the important factors you will consider when selecting your credit card?","What is your average credit card spending amount per month?","How do you access your credit card statements?"
"2019/02/23 4:21:17 PM GMT+8","21-30","40,001 to 50,000","Online Spending","Yes","25","Cashback","Groceries;Online purchases;Transport (Petrol/Grab/Taxi/Public transport);Shopping;Entertainment;Overseas Spending;Dining","Online application","Cashback amount;Annual fees;Reward points","above 1000","Online portal"
"2019/02/23 4:27:11 PM GMT+8","31-40","above 100,000","Bills","Yes","25","Cashback","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Overseas Spending;Dining","Roadshow","Cashback amount","above 1000","Mobile app"
"2019/02/23 4:29:48 PM GMT+8","21-30","70,001 to 80,000","Dining","Yes","24","Cashback","Groceries;Online purchases;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Overseas Spending;Dining","Online application","Cashback amount;Annual fees","above 1000","Online portal"
"2019/02/23 4:31:53 PM GMT+8","31-40","90,001 to 100,000","Travel Bookings","Yes","26","Cashback","Online purchases;Travel bookings","Online application","Cashback amount","601-1000","Online portal"
"2019/02/23 4:34:09 PM GMT+8","21-30","30,001 to 40,000","Online Spending","No","","","","","","",""
"2019/02/23 4:36:51 PM GMT+8","31-40","80,001 to 90,000","Transport (Petrol/Grab/Taxi/Public transport)","Yes","24","Cashback;Rewards;Milescard;General","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Shopping;Entertainment;Dining","Roadshow","Cashback amount;Reward points","601-1000","Mobile app"
"2019/02/23 4:40:51 PM GMT+8","21-30","70,001 to 80,000","Dining","Yes","23","Cashback","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Dining","Branch walk-in","Cashback amount;Annual fees","501-600","Mobile app"
"2019/02/23 4:41:06 PM GMT+8","21-30","above 100,000","Dining","Yes","24","Milescard;General","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Overseas Spending;Dining","Online application","Cashback amount;Annual fees","601-1000","Mobile app"
"2019/02/23 4:41:46 PM GMT+8","21-30","50,001 to 60,000","Bills","Yes","21","Cashback;Rewards","Groceries;Online purchases;Travel bookings;Shopping;Dining","Online application","Cashback amount;Reward points","above 1000","Mobile app"
"2019/02/23 4:42:56 PM GMT+8","21-30","80,001 to 90,000","Travel Bookings","Yes","23","Cashback;Rewards;General","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Dining","Branch walk-in","Cashback amount;Annual fees;Credit limit","above 1000","Online portal"
"2019/02/23 4:43:19 PM GMT+8","40 and above","70,001 to 80,000","Bills","Yes","24","General","Groceries;Online purchases;Shopping;Entertainment;Dining","Roadshow","Annual fees;Reward points","501-600","Online portal"
"2019/02/23 4:44:25 PM GMT+8","21-30","80,001 to 90,000","Bills","Yes","22","General","Groceries;Online purchases;Transport (Petrol/Grab/Taxi/Public transport);Shopping;Entertainment;Dining","Branch walk-in","Annual fees","400 and below","Online portal"
